,File,Phoneme
0,DR1FDAW0SX236,h#
1,DR1FDAW0SX236,h#
2,DR1FDAW0SX236,h#
3,DR1FDAW0SX236,h#
4,DR1FDAW0SX236,h#
5,DR1FDAW0SX236,h#
6,DR1FDAW0SX236,h#
7,DR1FDAW0SX236,h#
8,DR1FDAW0SX236,h#
9,DR1FDAW0SX236,h#
10,DR1FDAW0SX236,h#
11,DR1FDAW0SX236,h#
12,DR1FDAW0SX236,h#
13,DR1FDAW0SX236,h#
14,DR1FDAW0SX236,h#
15,DR1FDAW0SX236,h#
16,DR1FDAW0SX236,h#
17,DR1FDAW0SX236,h#
18,DR1FDAW0SX236,h#
19,DR1FDAW0SX236,h#
20,DR1FDAW0SX236,--
21,DR1FDAW0SX236,--
22,DR1FDAW0SX236,k
23,DR1FDAW0SX236,k
24,DR1FDAW0SX236,k
25,DR1FDAW0SX236,k
26,DR1FDAW0SX236,k
27,DR1FDAW0SX236,k
28,DR1FDAW0SX236,--
29,DR1FDAW0SX236,--
30,DR1FDAW0SX236,l
31,DR1FDAW0SX236,l
32,DR1FDAW0SX236,l
33,DR1FDAW0SX236,--
34,DR1FDAW0SX236,--
35,DR1FDAW0SX236,ih
36,DR1FDAW0SX236,ih
37,DR1FDAW0SX236,ih
38,DR1FDAW0SX236,ih
39,DR1FDAW0SX236,ih
40,DR1FDAW0SX236,ih
41,DR1FDAW0SX236,ih
42,DR1FDAW0SX236,ih
43,DR1FDAW0SX236,--
44,DR1FDAW0SX236,--
45,DR1FDAW0SX236,r
46,DR1FDAW0SX236,r
47,DR1FDAW0SX236,r
48,DR1FDAW0SX236,--
49,DR1FDAW0SX236,--
50,DR1FDAW0SX236,pcl
51,DR1FDAW0SX236,pcl
52,DR1FDAW0SX236,pcl
53,DR1FDAW0SX236,pcl
54,DR1FDAW0SX236,pcl
55,DR1FDAW0SX236,pcl
56,DR1FDAW0SX236,pcl
57,DR1FDAW0SX236,pcl
58,DR1FDAW0SX236,--
59,DR1FDAW0SX236,--
60,DR1FDAW0SX236,p
61,DR1FDAW0SX236,p
62,DR1FDAW0SX236,p
63,DR1FDAW0SX236,--
64,DR1FDAW0SX236,--
65,DR1FDAW0SX236,--
66,DR1FDAW0SX236,--
67,DR1FDAW0SX236,n
68,DR1FDAW0SX236,n
69,DR1FDAW0SX236,n
70,DR1FDAW0SX236,n
71,DR1FDAW0SX236,n
72,DR1FDAW0SX236,--
73,DR1FDAW0SX236,--
74,DR1FDAW0SX236,aw
75,DR1FDAW0SX236,aw
76,DR1FDAW0SX236,aw
77,DR1FDAW0SX236,aw
78,DR1FDAW0SX236,aw
79,DR1FDAW0SX236,aw
80,DR1FDAW0SX236,aw
81,DR1FDAW0SX236,aw
82,DR1FDAW0SX236,aw
83,DR1FDAW0SX236,aw
84,DR1FDAW0SX236,aw
85,DR1FDAW0SX236,aw
86,DR1FDAW0SX236,aw
87,DR1FDAW0SX236,aw
88,DR1FDAW0SX236,aw
89,DR1FDAW0SX236,--
90,DR1FDAW0SX236,--
91,DR1FDAW0SX236,n
92,DR1FDAW0SX236,n
93,DR1FDAW0SX236,n
94,DR1FDAW0SX236,--
95,DR1FDAW0SX236,--
96,DR1FDAW0SX236,s
97,DR1FDAW0SX236,s
98,DR1FDAW0SX236,s
99,DR1FDAW0SX236,s
100,DR1FDAW0SX236,s
101,DR1FDAW0SX236,s
102,DR1FDAW0SX236,s
103,DR1FDAW0SX236,s
104,DR1FDAW0SX236,s
105,DR1FDAW0SX236,s
106,DR1FDAW0SX236,s
107,DR1FDAW0SX236,--
108,DR1FDAW0SX236,--
109,DR1FDAW0SX236,iy
110,DR1FDAW0SX236,iy
111,DR1FDAW0SX236,iy
112,DR1FDAW0SX236,iy
113,DR1FDAW0SX236,iy
114,DR1FDAW0SX236,iy
115,DR1FDAW0SX236,iy
116,DR1FDAW0SX236,iy
117,DR1FDAW0SX236,iy
118,DR1FDAW0SX236,--
119,DR1FDAW0SX236,--
120,DR1FDAW0SX236,ey
121,DR1FDAW0SX236,ey
122,DR1FDAW0SX236,ey
123,DR1FDAW0SX236,ey
124,DR1FDAW0SX236,ey
125,DR1FDAW0SX236,ey
126,DR1FDAW0SX236,ey
127,DR1FDAW0SX236,ey
128,DR1FDAW0SX236,ey
129,DR1FDAW0SX236,ey
130,DR1FDAW0SX236,ey
131,DR1FDAW0SX236,ey
132,DR1FDAW0SX236,ey
133,DR1FDAW0SX236,ey
134,DR1FDAW0SX236,ey
135,DR1FDAW0SX236,ey
136,DR1FDAW0SX236,--
137,DR1FDAW0SX236,--
138,DR1FDAW0SX236,sh
139,DR1FDAW0SX236,sh
140,DR1FDAW0SX236,sh
141,DR1FDAW0SX236,sh
142,DR1FDAW0SX236,sh
143,DR1FDAW0SX236,sh
144,DR1FDAW0SX236,sh
145,DR1FDAW0SX236,sh
146,DR1FDAW0SX236,sh
147,DR1FDAW0SX236,sh
148,DR1FDAW0SX236,sh
149,DR1FDAW0SX236,sh
150,DR1FDAW0SX236,sh
151,DR1FDAW0SX236,sh
152,DR1FDAW0SX236,sh
153,DR1FDAW0SX236,sh
154,DR1FDAW0SX236,--
155,DR1FDAW0SX236,--
156,DR1FDAW0SX236,ix
157,DR1FDAW0SX236,ix
158,DR1FDAW0SX236,ix
159,DR1FDAW0SX236,--
160,DR1FDAW0SX236,--
161,DR1FDAW0SX236,n
162,DR1FDAW0SX236,n
163,DR1FDAW0SX236,n
164,DR1FDAW0SX236,n
165,DR1FDAW0SX236,n
166,DR1FDAW0SX236,n
167,DR1FDAW0SX236,n
168,DR1FDAW0SX236,n
169,DR1FDAW0SX236,n
170,DR1FDAW0SX236,n
171,DR1FDAW0SX236,--
172,DR1FDAW0SX236,--
173,DR1FDAW0SX236,q
174,DR1FDAW0SX236,q
175,DR1FDAW0SX236,q
176,DR1FDAW0SX236,q
177,DR1FDAW0SX236,q
178,DR1FDAW0SX236,--
179,DR1FDAW0SX236,--
180,DR1FDAW0SX236,ih
181,DR1FDAW0SX236,ih
182,DR1FDAW0SX236,ih
183,DR1FDAW0SX236,ih
184,DR1FDAW0SX236,ih
185,DR1FDAW0SX236,ih
186,DR1FDAW0SX236,ih
187,DR1FDAW0SX236,ih
188,DR1FDAW0SX236,ih
189,DR1FDAW0SX236,--
190,DR1FDAW0SX236,--
191,DR1FDAW0SX236,z
192,DR1FDAW0SX236,z
193,DR1FDAW0SX236,z
194,DR1FDAW0SX236,z
195,DR1FDAW0SX236,z
196,DR1FDAW0SX236,z
197,DR1FDAW0SX236,z
198,DR1FDAW0SX236,z
199,DR1FDAW0SX236,--
200,DR1FDAW0SX236,--
201,DR1FDAW0SX236,ix
202,DR1FDAW0SX236,ix
203,DR1FDAW0SX236,ix
204,DR1FDAW0SX236,--
205,DR1FDAW0SX236,--
206,DR1FDAW0SX236,pcl
207,DR1FDAW0SX236,pcl
208,DR1FDAW0SX236,pcl
209,DR1FDAW0SX236,pcl
210,DR1FDAW0SX236,pcl
211,DR1FDAW0SX236,pcl
212,DR1FDAW0SX236,--
213,DR1FDAW0SX236,--
214,DR1FDAW0SX236,p
215,DR1FDAW0SX236,p
216,DR1FDAW0SX236,p
217,DR1FDAW0SX236,p
218,DR1FDAW0SX236,p
219,DR1FDAW0SX236,p
220,DR1FDAW0SX236,--
221,DR1FDAW0SX236,--
222,DR1FDAW0SX236,r
223,DR1FDAW0SX236,r
224,DR1FDAW0SX236,r
225,DR1FDAW0SX236,r
226,DR1FDAW0SX236,--
227,DR1FDAW0SX236,--
228,DR1FDAW0SX236,iy
229,DR1FDAW0SX236,iy
230,DR1FDAW0SX236,iy
231,DR1FDAW0SX236,iy
232,DR1FDAW0SX236,iy
233,DR1FDAW0SX236,iy
234,DR1FDAW0SX236,iy
235,DR1FDAW0SX236,iy
236,DR1FDAW0SX236,--
237,DR1FDAW0SX236,--
238,DR1FDAW0SX236,sh
239,DR1FDAW0SX236,sh
240,DR1FDAW0SX236,sh
241,DR1FDAW0SX236,sh
